"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod","hors_mali","hors_mali_utm","erreur_projection","hors_mali_reel","proche_frontiere","dans_eau_suspect","zone_humide_twi","zone_non_cultivee","zone_inhabitee","erreur_saisie","derive_gps","exploitation","passage","cluster","doublon","nb_grappes_cluster","nb_passages_cluster","nb_exploitations_cluster","origine_doublon","distance_centre","suspect_distance","score","niveau","decision","surface_gps_m2","surface_gps_ha","hybrid_V8_prop","surface_cultivee_ha"
248,82,50,13,140,273,260,1112,299,761,30,5,312,2.2,360,13,1,1,1,1,1,1,1,810,556,18,855,17,618,0.3342,0.4133,0.3211,0.3939,"offset",11.9865184155,-8.52076448705,0,0,0,0,31624.3747174416,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",321374.578011858,0,0,"Bon","Garder",31401.5737458183,3.14015737458183,0.05,0.157007868729092
249,74,59,4,129,274,262,1083,294,736,130,21,312,2.2,341,15,1,1,1,1,1,1,1,809,554,17,788,17,549,0.3325,0.4094,0.3208,0.3928,"offset",11.994225791,-8.3575938343,0,0,0,0,36771.826172068,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",306679.536782394,0,0,"Bon","Garder",31401.5737457806,3.14015737457806,0.21,0.659433048661393
250,87,51,10,140,273,261,1117,301,752,30,33,312,2.3,352,14,1,1,1,1,1,1,1,806,550,18,799,17,557,0.3334,0.4157,0.3281,0.3985,"offset",11.8606030936,-8.33848795199,0,0,0,0,21822.6561296401,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",315057.214250116,0,0,"Bon","Garder",31401.5737457243,3.14015737457243,0.33,1.0362519336089
251,82,63,15,139,274,261,1093,292,730,40,31,312,2.4,350,13,1,1,1,1,1,1,1,799,547,18,787,17,550,0.3242,0.4028,0.3208,0.3961,"offset",11.8651469719,-8.23809708064,0,0,0,0,18564.0668229528,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",306516.109461037,0,0,"Bon","Garder",31401.5737457741,3.14015737457741,0.31,0.973448786118997
252,85,63,9,165,273,261,1108,294,736,60,37,312,2.2,347,13,1,1,1,1,1,1,1,804,555,18,769,17,540,0.3257,0.4058,0.3239,0.397,"offset",11.7578066549,-8.20149612809,0,0,0,0,5985.24251976779,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",312191.328091145,0,0,"Bon","Garder",31401.5737456838,3.14015737456838,0.37,1.1618582285903
253,89,51,13,142,273,260,1120,300,752,60,34,312,2.4,361,13,1,1,1,1,1,1,1,807,552,18,778,17,544,0.3357,0.4144,0.3345,0.3959,"offset",11.8162989288,-8.33897210735,0,0,0,0,17140.9339415595,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",318504.51887272,0,0,"Bon","Garder",31401.5737458095,3.14015737458095,0.34,1.06765350735752
254,86,62,10,178,273,260,1111,295,739,60,35,312,2,346,13,1,1,1,1,1,1,1,807,557,18,770,17,540,0.3244,0.4017,0.3173,0.3851,"offset",11.750020247,-8.23326571343,0,0,0,0,5872.6430696685,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",315301.147450334,0,0,"Bon","Garder",31401.5737458472,3.14015737458472,0.35,1.09905508110465
255,97,66,20,157,270,257,1114,299,781,30,9,312,3,399,14,1,1,1,1,1,1,1,834,569,18,866,17,635,0.3679,0.466,0.3604,0.4689,"comm_ctr",12.2340179,-8.86466170657,0,0,0,0,8741.64865429105,0,0,0,0,0,0,1,1,8,1,2,1,2,"Meme_zone_jittering_legitime",337396.916782426,0,1,"A_verifier","Fusionner_jittering",31401.5737457843,3.14015737457843,0.09,0.282614163712059
256,97,66,20,157,270,257,1114,299,781,30,9,312,3,399,14,1,1,1,1,1,1,1,834,569,18,866,17,635,0.3679,0.466,0.3604,0.4689,"comm_ctr",12.2340179,-8.86466170657,0,0,0,0,8741.64865429105,0,0,0,0,0,0,3,1,8,1,2,1,2,"Meme_zone_jittering_legitime",337396.916782426,0,1,"A_verifier","Fusionner_jittering",31401.5737457843,3.14015737457843,0.09,0.282614163712059
257,87,55,5,147,273,259,1109,291,767,40,16,312,2.6,362,13,1,1,1,1,1,1,2,817,562,18,838,17,606,0.3475,0.4321,0.3387,0.4628,"offset",12.1359998652,-8.6947671216,0,0,0,0,19770.4507338373,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",327192.374471119,0,0,"Bon","Garder",31401.5737457816,3.14015737457816,0.16,0.502425179932505
