"grappe","exploitation","passage","s9q00","s9q01","s9q02a","s9q02d","s9q02e","s9q02f","s9q03","s9q04","s9q05","s9q06","s9q07","s9q08","s9q09","s9q10","s9q11","s9q12a","s9q12b"
63,6,1,1,1,1,1,70,1.79769313486232e+308,2,1,33,1,1,3,4,1,3,150000,4
63,9,1,1,1,1,1,48,1.79769313486232e+308,2,1,27,2,1,2,2,1,3,15000,1
64,3,1,1,1,1,1,38,1.79769313486232e+308,4,1,998,1,1,5,5,1,2,300000,1
64,6,1,1,1,1,1,36,1.79769313486232e+308,1,1,998,1,1,5,5,1,4,500000,2
64,9,1,1,1,1,2,60,1.79769313486232e+308,2,1,998,1,2,1.79769313486232e+308,5,1,4,300000,2
66,6,1,1,1,1,1,80,1.79769313486232e+308,4,1,998,1,2,1.79769313486232e+308,5,1,4,200000,4
67,6,1,1,1,1,1,68,1.79769313486232e+308,2,1,35,1,1,5,5,1,3,200000,2
68,3,1,1,1,1,1,62,1.79769313486232e+308,4,1,46,1,1,15,5,1,3,500000,5
68,9,1,1,1,4,2,40,1.79769313486232e+308,3,1,35,1,1,5,4,1,3,300000,5
69,3,1,1,1,1,1,60,1.79769313486232e+308,2,1,30,1,1,5,4,1,3,300000,5
69,6,1,1,1,1,1,50,1.79769313486232e+308,2,1,25,1,1,7,4,1,3,250000,5
71,9,1,1,1,1,1,57,1.79769313486232e+308,4,1,998,1,1,2,5,1,4,3000000,4
75,3,1,1,1,1,2,53,1.79769313486232e+308,2,1,30,2,1,2,1,1,2,30000,2
80,3,1,1,1,1,1,32,1.79769313486232e+308,4,1,24,2,1,5,1,1,3,4000,5
