"grappe","passage","exploitation","s6q00","s6q01","s6q02","s6q03","s6q04","s6q05","s6q06","s6q07a","s6q07b","s6q08","s6q09a","s6q09b","s6q09c","s6q10","s6q11a","s6q11b","s6q11c","s6q12","s6q13","s6q14","s6q15","s6q16a","s6q16b"
929,1,6,1,2,12,2,3,5,3,14,14,700,60,1,0,700,60,0,30,4,2,1,6,1,7
929,1,7,1,3,3,2,3,5,3,14,14,150,10,1,0,150,10,10,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
929,1,8,1,4,2,2,3,5,3,43,43,1000,70,0,0,800,50,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
929,1,9,1,3,2,2,3,5,3,14,14,150,16,1,30,150,16,1,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
930,1,1,1,3,3,2,3,5,3,43,43,700,50,0,0,30,2,0,0,4,2,1,6,1,7
930,1,2,1,3,5,2,3,5,3,43,43,400,10,0,0,200,6,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
930,1,3,1,3,1,2,3,5,3,43,43,2000,30,0,0,800,12,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
930,1,4,1,2,1,2,4,4,3,43,43,700,50,0,0,700,50,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
930,1,5,1,2,11,2,4,4,3,43,43,700,40,0,0,300,20,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
930,1,6,1,3,6,2,3,3,3,32,32,600,5,0,4,600,5,0,5,4,2,1,6,1,7
930,1,7,1,3,4,2,3,5,3,32,32,500,5,0,5,500,5,0,5,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
930,1,8,1,3,4,1,3,5,3,43,43,600,15,0,0,600,15,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
930,1,9,1,3,2,2,3,5,3,43,43,500,20,0,0,90,5,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
933,1,1,1,3,2,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
933,1,2,1,3,6,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
933,1,3,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
933,1,4,1,3,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
933,1,5,1,3,4,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
933,1,6,1,2,10,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,2,1,2,3
933,1,7,1,3,4,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
933,1,8,1,2,5,1,3,5,2,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,2,1,2,3
933,1,9,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
934,1,1,1,2,2,1,3,5,3,13,13,100,10,0,20,100,10,0,20,4,2,1,7,2,3
934,1,2,1,3,2,1,3,5,3,13,13,200,10,0,5,200,10,0,5,4,2,2,7,2,3
934,1,3,1,2,6,1,3,5,1,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,2,1,2,3
934,1,4,1,2,2,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
934,1,5,1,2,5,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
934,1,6,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,2,1,2,3
934,1,7,1,3,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
934,1,8,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
934,1,9,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
935,1,1,1,3,3,1,3,5,3,14,14,100,11,1,0,100,11,0,45,4,2,1,1,2,3
935,1,2,1,2,2,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,1,1,2,3
935,1,3,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,1,1,2,3
935,1,4,1,3,2,1,3,5,3,13,13,300,20,2,0,300,20,3,0,4,2,1,7,2,3
935,1,5,1,2,2,1,3,5,3,13,13,300,30,3,30,300,30,1,0,4,2,1,7,2,3
935,1,6,1,3,1,3,5,3,1,13,13,400,25,1,0,400,25,0,45,4,2,1,7,1,3
935,1,7,1,3,3,1,3,5,3,12,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,7,2,3
935,1,8,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
935,1,9,1,2,6,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,2,1,2,3
936,1,1,1,2,5,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
936,1,2,1,2,2,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
936,1,3,1,3,2,1,3,5,3,13,13,100,10,1,30,100,10,0,50,4,2,1,6,2,3
936,1,4,1,3,3,1,3,5,3,12,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,1,1,2,3
936,1,5,1,2,5,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,1,1,2,3
936,1,6,1,3,3,1,3,5,3,14,14,200,10,2,30,200,10,10,0,4,2,1,1,2,3
936,1,7,1,3,4,1,3,5,3,13,13,30,5,2,0,30,5,1,0,4,1,1,1,2,3
936,1,8,1,2,2,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
936,1,9,1,2,3,1,3,5,3,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,2,2,1,2,3
