"grappe","exploitation","passage","s5q01","s5q02","s5q03","s5q04","s5q05","s5q06","s5q07","s5q08","s5q09","s5q10","s5q11"
111,6,1,1,2,2,2,2,2,2,2,2,2,2
111,9,1,5,2,2,2,2,2,2,2,2,2,2
112,3,1,1,2,2,2,2,2,2,2,2,2,2
112,6,1,1,2,2,1,2,1,2,2,2,2,2
112,9,1,1,2,2,2,2,2,2,2,2,2,2
113,3,1,1,2,2,2,2,2,2,2,2,2,2
113,6,1,1,2,2,2,2,2,2,2,2,2,2
113,9,1,1,2,2,2,2,2,2,2,2,2,2
114,1,1,1,2,2,2,2,2,2,2,2,2,2
114,3,1,9,2,2,2,2,2,2,2,2,2,2
114,4,1,1,2,2,2,2,2,2,2,2,2,2
114,5,1,1,2,2,2,2,2,2,1,2,2,2
114,6,1,1,2,2,2,2,2,2,2,2,2,2
114,7,1,1,2,2,2,2,2,2,2,2,2,2
114,8,1,1,2,2,2,2,2,2,2,2,2,2
114,9,1,1,2,2,2,2,2,2,2,2,2,2
115,1,1,1,2,2,2,2,1,2,2,2,1,1
115,2,1,1,2,2,2,2,2,2,2,2,2,2
115,3,1,1,2,2,2,2,2,2,2,2,2,2
115,4,1,1,2,2,2,2,2,2,2,2,2,2
115,5,1,1,2,2,2,2,2,2,2,2,2,2
115,6,1,1,2,2,2,2,2,2,2,2,2,2
115,7,1,1,2,2,2,2,2,2,2,2,2,2
115,8,1,1,2,2,2,2,2,2,2,2,2,2
115,9,1,1,2,2,2,2,2,2,2,2,2,2
116,1,1,1,2,2,2,2,2,2,2,2,2,2
116,2,1,1,2,2,2,2,2,2,2,2,2,2
116,3,1,1,2,2,2,2,2,2,2,2,2,2
116,4,1,1,2,2,2,2,2,2,2,2,2,2
116,5,1,1,2,2,2,2,2,2,2,2,2,2
116,6,1,1,2,2,2,2,2,2,2,2,2,2
116,7,1,1,2,2,2,2,2,2,2,2,2,2
116,8,1,1,2,2,2,2,2,2,2,2,2,2
116,9,1,1,2,2,2,2,2,2,2,2,2,2
117,1,1,1,2,2,2,2,2,2,2,2,2,2
117,2,1,1,2,2,2,1,2,2,2,2,2,1
117,3,1,1,2,2,2,2,2,2,2,2,2,2
117,4,1,1,2,2,2,2,2,2,2,2,2,2
117,5,1,1,1,1,2,2,2,2,2,2,2,1
117,6,1,1,2,2,2,2,2,2,1,2,2,1
117,7,1,1,2,2,2,2,2,2,2,2,2,2
117,8,1,1,2,2,2,1,2,2,2,2,2,1
117,9,1,1,2,2,2,2,2,2,2,2,2,2
118,1,1,1,2,2,2,2,2,2,2,2,2,2
118,3,1,1,2,2,2,2,2,2,2,2,2,2
118,4,1,1,2,2,2,2,2,2,2,2,2,2
118,5,1,1,2,2,2,2,2,2,2,2,2,2
118,6,1,1,2,2,2,2,2,2,2,2,2,2
118,7,1,1,2,2,2,2,2,2,2,2,2,2
118,8,1,1,1,2,2,2,2,2,2,2,2,1
118,9,1,1,2,2,2,2,2,2,2,2,2,2
119,3,1,1,2,2,2,2,2,2,2,2,2,2
119,6,1,1,2,2,2,2,2,2,2,2,2,2
119,9,1,1,2,2,2,2,2,2,2,2,2,2
120,3,1,1,2,2,2,2,2,2,1,2,2,1
120,6,1,1,2,2,2,2,2,2,2,2,2,2
120,9,1,1,2,2,2,2,2,2,2,2,2,2
121,3,1,1,2,2,2,2,2,2,2,2,2,2
121,6,1,1,2,2,2,2,2,2,2,2,2,2
121,9,1,1,2,2,2,2,2,2,2,2,2,2
122,3,1,1,2,2,2,2,2,2,2,2,2,2
122,6,1,1,2,2,2,2,2,1,2,2,2,2
122,9,1,1,2,2,2,2,2,2,2,2,2,2
123,3,1,1,2,2,2,2,2,2,2,2,2,2
123,6,1,1,2,2,2,2,2,2,2,2,2,2
123,9,1,1,2,2,2,2,2,2,2,2,2,2
124,3,1,1,2,2,2,2,2,2,2,2,2,2
124,6,1,1,2,2,2,2,2,2,2,2,2,2
124,9,1,1,2,2,2,2,2,2,2,2,2,2
125,3,1,1,2,2,2,2,2,2,2,2,2,2
125,6,1,1,2,2,2,2,2,2,2,2,2,2
125,9,1,1,2,2,2,2,2,2,2,2,2,2
126,3,1,1,2,2,2,2,2,2,2,2,2,2
126,6,1,1,2,2,2,2,2,2,2,2,2,2
126,9,1,1,2,2,2,2,2,2,2,2,2,2
127,3,1,1,2,2,2,2,2,2,2,2,2,2
127,6,1,1,2,2,2,2,2,2,2,2,2,2
128,3,1,1,2,2,2,2,2,2,2,2,2,2
128,6,1,1,2,2,2,2,2,2,2,2,2,2
128,9,1,1,2,2,2,2,2,2,2,2,2,2
129,3,1,1,2,2,2,2,2,2,2,2,2,2
129,6,1,1,2,2,2,2,2,2,2,2,2,2
130,3,1,1,2,2,2,2,2,2,2,2,2,2
130,6,1,1,2,2,2,2,2,2,2,2,2,2
130,9,1,1,2,2,2,2,2,2,2,2,2,2
131,3,1,1,2,2,2,2,2,2,2,2,2,2
131,6,1,1,2,2,2,2,2,2,2,2,2,2
131,9,1,1,2,2,2,2,2,2,2,2,2,2
132,3,1,1,2,2,2,2,2,2,2,2,2,2
132,6,1,1,2,2,2,2,2,2,2,2,2,2
132,9,1,1,2,2,2,2,2,2,2,2,2,2
133,3,1,1,2,2,2,2,2,2,2,2,2,2
133,6,1,1,2,2,2,2,2,2,2,2,2,2
133,9,1,1,2,2,2,2,2,2,2,2,2,2
134,3,1,1,2,2,2,2,2,2,2,2,2,2
134,6,1,6,2,2,2,2,2,2,2,2,2,2
134,9,1,6,2,2,2,2,2,2,2,2,2,2
135,3,1,1,2,2,2,2,2,2,2,2,2,2
135,6,1,1,2,2,2,2,2,2,2,2,2,2
135,9,1,1,2,2,2,2,2,2,2,2,2,2
136,3,1,1,2,2,2,2,2,2,2,2,2,2
136,6,1,1,2,2,2,2,2,2,2,2,2,2
136,9,1,1,2,2,2,2,2,2,2,2,2,2
137,3,1,1,2,2,2,2,2,2,2,2,2,2
137,6,1,1,2,2,2,2,2,2,2,2,2,2
137,9,1,1,2,2,2,2,2,2,2,2,2,2
138,1,1,1,2,2,2,2,2,2,2,2,2,2
138,2,1,1,2,2,2,2,2,2,2,2,2,2
138,3,1,1,2,2,2,2,2,2,2,2,2,2
138,4,1,2,2,2,2,2,2,2,2,2,2,2
138,5,1,2,2,2,2,2,2,2,2,2,2,2
138,6,1,1,2,2,2,2,2,2,2,2,2,2
138,7,1,1,2,2,2,2,2,2,2,2,2,2
138,8,1,1,2,2,2,2,2,2,2,2,2,2
138,9,1,1,2,2,2,2,2,2,2,2,2,2
139,1,1,4,2,2,2,2,2,2,2,2,2,2
139,2,1,1,2,2,2,2,2,2,2,2,2,2
139,3,1,1,2,2,2,2,2,2,2,2,2,2
139,4,1,1,2,2,2,2,2,2,2,2,2,2
139,5,1,1,2,2,2,2,2,2,2,2,2,2
139,6,1,1,2,2,2,2,2,2,2,2,2,2
139,7,1,1,2,2,2,2,2,2,2,2,2,2
139,8,1,1,2,2,2,1,2,2,2,2,1,2
